here
429197 20438
Loading done. 423130 pairs from /shared/data/qiz3/cs412fa18-final-proj/network-embedding-evaluation/results/DistMult_scores.txt
edge is 97:dwith avg mrr 0.3227926587301587
edge is 97:d-1with avg mrr 0.34181547619047625
edge is 98:dwith avg mrr 0.3431083319972209
edge is 98:d-1with avg mrr 0.4621412538079204
edge is 99:dwith avg mrr 0.38703703703703707
edge is 99:d-1with avg mrr 0.28192239858906526
edge is 9:dwith avg mrr 0.8354166666666668
edge is 9:d-1with avg mrr 0.8508333333333333
macro avg is 0.29150213657613444
micro avg is 0.3328549401935984
hits@1 is 0.1614884039534201
hits@5 is 0.4944710832762501
hits@10 is 0.8783882963107936
